date,how to delete a google account,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete gmail,how to unfollow someone on snapchat,most private browser,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,can someone read my text messages from their phone,how to protect against phishing,how to unfriend someone on instagram,how to delete a twitter account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,how to unfriend someone on facebook,private twitter account,how to delete twitter,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2014-08-01,88,10,0,27,3,1,58,20,826,0,7,19,619,0,0,2,2,77,36,1,2,18,59,518,4,2,9,4
2014-09-01,75,10,1,27,5,1,42,12,817,0,7,13,557,0,0,2,0,66,26,2,2,18,53,448,4,1,6,6
2014-10-01,73,12,1,36,4,1,40,9,775,0,0,13,538,0,0,3,0,73,29,2,1,18,53,436,2,1,8,6
2014-11-01,78,9,1,35,4,1,40,13,750,0,0,13,544,0,0,2,2,72,30,3,2,18,48,459,4,1,7,6
2014-12-01,77,9,1,42,4,1,43,16,717,0,7,13,588,0,0,2,2,73,41,3,2,18,53,489,3,2,7,5
2015-01-01,73,11,1,58,4,2,50,19,709,0,0,13,563,0,0,2,2,92,46,11,3,18,48,524,4,1,8,5
2015-02-01,72,9,1,38,5,1,34,9,692,0,0,13,513,0,0,2,2,73,36,5,2,18,36,483,3,1,6,6
2015-03-01,70,10,1,44,6,1,38,12,700,0,7,13,500,0,0,2,2,72,38,3,2,18,36,501,4,1,6,5
2015-04-01,65,11,0,36,6,0,43,14,700,0,0,13,500,0,0,2,2,70,46,3,2,24,36,506,3,1,8,6
2015-05-01,72,11,1,27,6,2,41,19,700,0,0,13,507,0,0,0,2,74,37,3,2,53,36,489,2,1,6,5
2015-06-01,80,10,1,34,5,2,41,24,725,0,0,13,538,0,0,2,3,107,39,2,2,36,42,524,3,1,5,4
2015-07-01,79,9,1,45,10,1,40,11,759,0,0,19,557,0,0,2,2,81,62,7,2,24,42,589,3,1,7,4
2015-08-01,83,12,1,47,5,3,41,8,800,0,0,13,557,0,0,2,2,66,59,3,3,24,42,583,5,2,8,6
2015-09-01,81,12,1,39,4,1,32,12,750,0,0,13,494,0,0,2,2,68,46,7,3,53,42,495,3,1,8,5
2015-10-01,73,10,1,30,4,1,34,12,700,0,0,13,469,0,0,2,2,81,44,3,1,42,36,465,4,2,8,2
2015-11-01,70,11,1,33,4,1,27,9,684,0,7,13,457,0,0,2,2,76,41,4,2,18,42,471,4,1,5,4
2015-12-01,76,12,1,36,4,1,41,8,742,0,7,13,525,0,0,2,2,72,45,5,3,18,42,489,4,2,5,4
2016-01-01,85,11,1,39,4,1,43,12,775,0,0,13,525,0,0,2,2,71,53,4,3,24,42,530,3,1,6,5
2016-02-01,80,13,1,36,4,1,33,15,717,0,7,13,457,0,0,3,2,55,49,4,2,48,42,459,3,1,5,4
2016-03-01,74,11,1,39,5,3,34,12,709,0,0,13,432,0,2,2,3,65,55,6,3,42,48,453,3,1,5,3
2016-04-01,74,13,1,48,8,1,34,8,692,0,0,13,438,0,2,2,2,70,49,9,3,18,42,430,4,1,4,3
2016-05-01,73,10,0,54,7,1,37,6,717,0,0,13,450,0,0,2,3,69,50,9,2,18,30,459,4,2,5,3
2016-06-01,77,12,1,50,5,1,36,12,767,0,7,13,469,7,0,0,2,68,61,11,3,36,30,518,4,1,6,3
2016-07-01,100,11,1,50,8,1,39,19,817,9,0,13,482,0,0,0,3,76,65,8,2,59,36,542,4,1,6,2
2016-08-01,92,12,0,43,6,2,37,12,809,0,0,13,482,7,0,2,2,75,58,7,3,30,36,518,4,3,5,3
2016-09-01,82,11,0,39,6,1,28,9,800,0,0,13,457,0,0,2,2,66,41,6,4,18,30,471,3,2,5,2
2016-10-01,86,10,1,40,8,2,31,9,759,0,0,13,438,0,0,2,2,68,52,8,2,24,24,442,3,1,7,2
2016-11-01,80,10,1,41,6,2,28,13,775,0,7,13,450,7,2,3,2,58,60,8,2,71,30,459,3,2,6,2
2016-12-01,94,11,1,49,8,1,36,18,809,0,0,13,494,0,0,2,3,65,64,5,3,30,30,465,4,1,8,3
2017-01-01,88,12,1,47,8,1,34,17,834,0,7,13,494,0,2,2,3,78,62,5,3,24,36,536,4,2,7,3
