date,how to unfollow someone on instagram,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2014-12-01,69,32,4,144,14,6,136,65,142,8,5,11,5,25,16
2015-01-01,65,32,2,197,18,8,172,67,164,40,13,14,5,33,17
2015-02-01,69,34,2,118,16,3,124,39,135,22,13,9,6,15,16
2015-03-01,56,36,4,142,14,3,147,31,130,8,5,11,5,18,15
2015-04-01,63,38,2,128,20,3,136,31,142,15,5,11,2,22,19
2015-05-01,68,34,4,108,24,6,144,57,120,8,5,10,3,15,16
2015-06-01,72,36,2,118,18,3,144,75,140,8,3,13,6,23,20
2015-07-01,68,34,2,153,34,3,118,39,198,18,5,11,4,23,19
2015-08-01,56,32,4,161,14,3,144,34,186,10,5,19,6,32,19
2015-09-01,75,38,2,130,14,8,116,52,144,20,10,8,6,28,18
2015-10-01,62,30,2,102,12,6,111,44,164,10,8,13,6,24,10
2015-11-01,67,34,2,108,18,6,88,36,152,15,10,17,5,12,15
2015-12-01,77,44,4,128,14,6,134,34,154,15,10,13,6,16,18
2016-01-01,76,32,4,140,18,3,142,29,191,15,10,13,7,22,18
2016-02-01,84,46,4,128,16,6,121,57,181,15,5,11,4,21,11
2016-03-01,70,40,2,142,24,8,121,39,181,27,8,14,3,20,7
2016-04-01,81,40,4,157,24,3,116,29,164,40,10,12,2,17,10
2016-05-01,67,42,2,185,26,3,116,26,176,27,10,14,7,12,8
2016-06-01,83,44,2,165,26,3,116,39,200,40,8,15,7,17,6
2016-07-01,100,34,2,177,24,6,139,59,244,32,8,14,2,26,10
2016-08-01,89,46,2,157,22,3,116,31,191,27,8,12,7,20,9
2016-09-01,75,34,2,157,20,6,116,39,137,18,15,12,5,19,6
2016-10-01,67,32,4,136,28,6,111,31,186,27,8,9,4,21,4
2016-11-01,85,38,2,140,16,3,93,42,203,30,8,10,7,24,7
2016-12-01,77,38,2,165,30,6,113,57,220,22,10,13,4,22,9
2017-01-01,75,46,4,175,34,3,124,52,215,22,13,16,5,17,8
