date,how to delete a instagram account,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,most private browser,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,can someone read my text messages from their phone,how to protect against phishing,how to unfriend someone on instagram,how to delete a twitter account,how to delete a google account,how to uninstall snapchat,encrypted phone calls,how to unfriend someone on facebook,private twitter account,how to delete twitter
2014-07-01,60,13,1,53,7,3,90,36,0,20,940,0,0,2,2,128,140,4,4,28,82,764
2014-08-01,55,16,1,42,5,3,88,30,10,30,990,0,0,2,2,117,136,2,4,28,91,801
2014-09-01,40,15,2,42,7,3,60,20,10,20,890,0,0,2,0,100,116,4,4,28,82,691
2014-10-01,45,18,1,55,6,2,64,13,0,20,860,0,0,4,0,110,113,4,2,28,82,673
2014-11-01,46,13,1,53,6,2,63,20,0,20,870,0,0,2,2,109,120,5,4,28,73,710
2014-12-01,62,13,1,65,6,3,67,26,10,20,940,0,0,2,2,110,119,5,4,28,82,755
2015-01-01,70,17,1,89,6,3,74,30,0,20,900,0,0,2,2,139,113,17,5,28,73,810
2015-02-01,55,15,1,59,7,3,53,17,0,20,820,0,0,2,2,110,111,8,4,28,55,746
2015-03-01,59,15,2,67,9,3,59,17,10,20,800,0,0,2,2,109,108,5,4,28,55,773
2015-04-01,71,16,1,56,9,2,63,21,0,20,800,0,0,2,2,105,100,5,4,37,55,782
2015-05-01,56,17,2,42,9,3,61,29,0,20,810,0,0,0,2,112,111,5,4,82,55,755
2015-06-01,60,16,1,52,7,3,65,36,0,20,860,0,0,2,4,162,124,4,4,55,64,810
2015-07-01,95,14,2,68,15,3,61,15,0,30,890,0,0,2,2,123,122,11,4,37,64,910
2015-08-01,90,18,2,72,7,4,64,15,0,20,890,0,0,2,2,100,128,5,5,37,64,901
2015-09-01,71,19,1,61,7,3,49,20,0,20,790,0,0,2,2,102,125,11,5,82,64,764
2015-10-01,68,15,1,46,6,3,50,18,0,20,750,0,0,2,2,123,113,5,2,64,55,719
2015-11-01,63,17,1,50,6,3,45,15,10,20,730,0,0,2,2,115,108,7,4,28,64,728
2015-12-01,68,19,1,55,5,2,58,14,10,20,840,0,0,2,2,109,117,8,5,28,64,755
2016-01-01,81,17,1,60,7,2,66,19,0,20,840,0,0,2,2,107,131,7,5,37,64,819
2016-02-01,75,19,1,55,7,4,53,23,10,20,730,0,0,4,2,83,124,7,4,73,64,710
2016-03-01,85,17,1,60,8,4,50,17,0,20,690,0,2,2,4,99,114,10,5,64,73,701
2016-04-01,75,20,1,74,12,3,52,14,0,20,700,0,2,2,2,105,114,14,5,28,64,664
2016-05-01,76,15,1,83,10,2,56,12,0,20,720,0,0,2,4,104,113,14,4,28,46,710
2016-06-01,93,18,1,77,8,2,57,17,10,20,750,10,0,0,2,102,119,17,5,55,46,801
2016-07-01,100,17,1,77,12,3,61,28,0,20,770,0,0,0,4,115,154,13,4,91,55,837
2016-08-01,89,19,1,67,9,3,58,17,0,20,770,10,0,2,2,113,142,11,5,46,55,801
2016-09-01,63,17,1,60,10,2,45,13,0,20,730,0,0,2,2,100,127,10,7,28,46,728
2016-10-01,80,15,1,62,12,3,50,14,0,20,700,0,0,2,2,102,133,13,4,37,37,682
2016-11-01,92,16,1,63,9,4,42,22,10,20,720,10,2,4,2,88,124,13,4,110,46,710
2016-12-01,98,17,1,76,13,3,56,28,0,20,790,0,0,2,4,99,145,8,5,46,46,719
2017-01-01,95,19,1,72,12,2,52,26,10,20,790,0,2,2,4,118,136,8,5,37,55,828
