date,how to unfriend someone on facebook,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,most private browser,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,can someone read my text messages from their phone,how to protect against phishing,how to unfriend someone on instagram,how to delete a twitter account,encrypted phone calls,private twitter account,how to delete twitter,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2013-09-01,33,13,2,25,0,2,77,19,180,28,0,28,782,0,2,3,2,84,0,75,600,3,1,8,5
2013-10-01,29,11,2,26,4,2,65,7,183,28,0,28,710,0,2,3,2,84,0,67,567,4,1,7,8
2013-11-01,52,13,3,29,4,3,72,13,200,28,0,19,746,0,2,2,0,75,0,75,559,4,1,7,6
2013-12-01,77,12,1,39,6,2,77,19,245,28,0,28,773,0,0,2,3,78,0,84,625,5,1,7,7
2014-01-01,34,14,1,59,5,3,88,26,221,35,0,28,819,0,0,2,2,106,0,92,692,3,1,10,6
2014-02-01,25,12,1,32,5,3,72,18,173,32,0,19,728,0,2,2,2,114,0,75,675,5,1,8,7
2014-03-01,29,14,1,43,4,5,79,15,176,32,0,19,782,0,0,2,2,92,0,100,684,3,2,9,6
2014-04-01,64,13,1,41,5,3,70,21,207,28,0,19,755,0,0,3,2,92,0,109,642,4,1,9,6
2014-05-01,66,12,1,62,7,4,65,20,218,28,0,19,719,0,0,2,5,94,0,75,625,4,1,8,5
2014-06-01,30,11,1,57,5,3,64,31,180,28,0,28,746,0,2,2,2,92,9,75,650,4,1,11,6
2014-07-01,29,15,1,53,7,4,80,37,187,28,0,19,873,0,2,3,3,114,0,75,725,3,2,15,7
2014-08-01,29,15,1,39,5,2,83,25,207,35,0,28,891,0,0,2,2,102,0,84,742,5,1,11,6
2014-09-01,28,15,1,40,7,5,59,13,197,35,10,19,810,0,0,0,2,92,0,75,625,5,2,8,10
2014-10-01,22,17,3,50,6,4,63,13,187,32,0,19,755,0,0,3,2,98,0,67,609,4,2,9,9
2014-11-01,26,12,1,54,5,2,60,21,187,32,0,19,773,0,0,2,2,98,0,67,659,7,2,10,7
2014-12-01,24,13,2,59,5,3,59,28,211,28,0,19,828,0,0,2,3,105,0,67,675,5,2,10,7
2015-01-01,24,13,1,81,7,4,74,29,207,28,0,28,828,0,0,2,0,123,9,67,742,6,2,14,7
2015-02-01,22,14,1,49,7,2,53,17,200,28,0,19,737,0,0,2,2,106,0,50,684,4,2,6,7
2015-03-01,29,14,1,58,6,2,63,14,207,35,0,19,728,0,0,2,2,95,0,50,700,5,2,7,6
2015-04-01,34,15,1,53,8,2,59,14,242,32,0,19,737,0,0,2,2,94,0,50,717,4,1,9,8
2015-05-01,77,14,1,45,10,3,62,25,190,25,0,19,728,0,0,2,3,109,0,50,709,4,1,6,7
2015-06-01,46,15,1,49,7,2,62,32,180,28,10,19,746,0,0,2,3,139,0,59,742,5,2,10,8
2015-07-01,32,14,1,63,14,2,51,17,225,35,0,28,782,0,0,2,3,113,0,50,834,5,2,10,8
2015-08-01,30,13,1,66,5,2,62,15,256,38,10,19,810,0,0,2,2,98,0,59,817,8,2,13,8
2015-09-01,76,15,1,54,6,4,50,22,197,32,0,19,682,0,0,2,3,100,0,59,717,3,2,12,7
2015-10-01,59,12,1,42,5,3,48,19,159,25,0,19,655,0,0,2,2,110,0,50,634,5,2,10,4
2015-11-01,27,14,1,45,7,3,38,16,163,28,10,19,664,0,0,2,2,113,9,59,659,7,2,5,6
2015-12-01,22,18,2,53,5,3,58,15,187,25,0,19,755,0,0,2,2,109,0,50,684,5,2,7,7
2016-01-01,41,13,1,58,8,2,61,13,228,32,0,19,746,0,0,2,2,102,0,59,742,5,3,9,8
2016-02-01,72,19,1,52,6,3,52,25,214,28,0,19,664,0,0,3,3,77,0,59,642,5,1,9,5
2016-03-01,60,16,1,58,9,4,52,17,180,25,10,19,637,0,2,2,2,95,0,59,659,6,1,8,3
2016-04-01,28,16,1,64,10,2,50,13,180,25,0,19,637,0,0,2,2,100,0,50,634,5,1,7,4
2016-05-01,25,17,1,76,11,2,50,11,180,25,0,19,655,0,0,2,3,99,0,50,650,6,3,5,3
2016-06-01,53,17,1,68,10,2,50,17,249,32,10,19,637,10,2,0,3,95,0,50,742,6,3,7,2
2016-07-01,79,14,1,73,10,3,60,26,242,32,0,19,701,10,2,0,2,105,0,50,800,6,1,11,4
2016-08-01,43,19,1,64,9,2,50,14,200,28,10,19,701,10,0,2,3,103,0,50,734,5,3,8,4
2016-09-01,28,14,1,65,8,3,50,17,200,32,0,19,664,0,0,2,3,98,9,42,659,5,2,8,3
2016-10-01,31,13,1,56,11,3,48,14,200,25,0,19,628,0,2,3,2,82,0,34,617,4,2,9,2
2016-11-01,100,15,1,57,7,2,40,18,235,32,0,19,637,0,2,3,3,91,0,42,650,4,3,10,3
2016-12-01,40,16,1,68,12,3,49,25,207,28,0,19,701,0,0,0,2,89,9,50,667,6,2,9,4
2017-01-01,34,18,1,72,14,2,53,22,218,32,10,19,728,0,0,2,2,110,9,59,767,6,2,7,3
