date,how to make twitter private on android,how to make twitter private on app,how to see a private twitter account without following,how to see who favorited a tweet,how to view private twitter account,how to view private twitter accounts 2016,how to view protected tweets without following,how to view protected tweets,private twitter account,protected account liked my tweet,protected account twitter liked my tweet,protected account twitter likes,protected account twitter,twitter privacy settings,who favorited my tweet,Row Total
9/1/15,1,6,1,1,4,0,1,3,57,0,0,0,6,9,2,91
10/1/15,1,4,1,1,4,0,1,3,51,0,0,0,5,9,2,82
11/1/15,1,4,1,1,4,0,1,3,58,0,0,0,5,9,1,88
12/1/15,1,2,1,1,3,0,1,3,51,0,0,1,7,9,1,81
1/1/16,1,3,1,1,3,1,1,3,57,0,0,1,7,8,2,89
2/1/16,1,2,1,1,3,1,1,2,57,0,0,1,4,9,1,84
3/1/16,0,1,1,0,4,0,0,3,59,1,0,1,15,7,1,93
4/1/16,0,1,1,1,4,0,0,2,54,1,1,1,15,7,1,89
5/1/16,0,1,1,1,5,0,1,4,46,2,0,1,15,5,1,83
6/1/16,1,1,1,1,3,0,0,3,44,4,1,1,19,4,1,84
7/1/16,1,3,1,1,5,0,1,2,51,2,1,1,19,6,1,95
8/1/16,0,0,0,0,3,0,0,2,50,3,2,0,15,4,1,80
9/1/16,1,1,1,0,3,0,0,2,43,2,1,0,13,5,1,73
10/1/16,1,1,1,1,3,0,1,3,39,0,1,1,12,5,1,70
11/1/16,0,1,1,0,3,0,1,2,42,1,1,1,10,5,1,69
12/1/16,0,2,1,0,3,0,0,5,43,1,0,0,11,3,1,70
1/1/17,0,2,1,0,3,1,0,3,48,2,1,0,10,5,0,76
